label	MEL_TUMOR_cpg3	PBL_cpg3	TIL_cpg3	MEL_TUMOR_cpg5	PBL_cpg5	TIL_cpg5	MEL_TUMOR_cpg4	PBL_cpg4	TIL_cpg4	MEL_TUMOR_cpg1	PBL_cpg1	TIL_cpg1	MEL_TUMOR_cpg2	PBL_cpg2	TIL_cpg2
0	0.025862069	0.759791123	0.075785582	0.020833333	0.740740741	0.042682927	0.025	0.779411765	0.097402597	0.079150579	0.685073339	0.113707165	0.039655172	0.739130435	0.079268293
0	0.055921053	0.752336449	0.066508314	0.052631579	0.772727273	0.050359712	0.034013605	0.755555556	0.083018868	0.142533937	0.660211268	0.122807018	0.070726916	0.738396624	0.077793494
0	0.014492754	0.859728507	0.057731959	0.012658228	0.854545455	0.027027027	0.027210884	0.865217391	0.073825503	0.07755102	0.762195122	0.084687767	0.019197208	0.814814815	0.056878307
0	0.05785124	0.765560166	0.061290323	0.076923077	0.834645669	0.042105263	0.071428571	0.806451613	0.071960298	0.094690265	0.703007519	0.093192333	0.053968254	0.755915318	0.06345957
0	0.066282421	0.701052632	0.057040998	0.032258065	0.793650794	0.027624309	0.048484848	0.743902439	0.066473988	0.129400571	0.636709825	0.106157113	0.072487644	0.668704156	0.064146621
0	0	0.761363636	0.010989011	0	0.6875	0	0	0.719298246	0	0.072625698	0.726027397	0.08372093	0.026315789	0.781690141	0.01459854
0	0.045454545	0.796052632	0.038043478	0.034482759	0.727272727	0.014492754	0.02173913	0.757142857	0.03875969	0.05982906	0.732919255	0.080213904	0.036231884	0.763033175	0.039215686
0	0.021126761	0.710843373	0.057692308	0	0.655172414	0.027027027	0.01369863	0.696969697	0.053030303	0.082317073	0.628640777	0.087527352	0.035714286	0.704980843	0.055016181
0	0.098901099	0.558823529	0.056074766	0.086956522	0.425	0.022222222	0.093023256	0.492753623	0.055555556	0.159663866	0.544776119	0.086642599	0.105633803	0.56626506	0.042682927
0	0.064748201	0.666666667	0.139622642	0.108695652	0.662037037	0.154385965	0.088122605	0.660477454	0.150826446	0.091421415	0.591217982	0.156517363	0.054371002	0.638316151	0.133173844
0	0.029411765	0.625	0.028846154	0.083333333	0.407407407	0	0.038461538	0.5	0.028985507	0.088607595	0.635359116	0.079646018	0.036363636	0.6484375	0.025806452
0	0.036697248	0.629824561	0.098981077	0.041666667	0.590909091	0.119266055	0.04368932	0.596825397	0.091116173	0.093272171	0.614834092	0.145981087	0.053475936	0.640786749	0.106715731
0	0.032051282	0.760638298	0.05124451	0.031914894	0.689440994	0.016326531	0.028708134	0.75974026	0.052154195	0.094728801	0.701360544	0.093905473	0.036895674	0.761388286	0.051935788
0	0.025641026	0.75	0.060606061	0	0.636363636	0.019230769	0.03030303	0.689655172	0.077777778	0.077319588	0.665306122	0.084175084	0.025862069	0.739130435	0.061538462
0	0.016516517	0.770177839	0.045307443	0.021390374	0.835748792	0.035928144	0.016722408	0.794258373	0.043046358	0.077686916	0.64849075	0.095706619	0.020730503	0.721099434	0.055020633
0	0.014084507	0.648648649	0.065420561	0	0.545454545	0	0	0.574468085	0.090909091	0.078787879	0.623893805	0.104545455	0.009174312	0.674242424	0.055172414
0	0.166666667	0.648148148	0.018181818	0.111111111	0.647058824	0	0.133333333	0.612903226	0.03125	0.220779221	0.584745763	0.10619469	0.16	0.6	0.037037037
0	0	0.615384615	0.054054054	0	0.5	0	0	0.6	0.090909091	0.044117647	0.71641791	0.095890411	0	0.684210526	0.058823529
0	0.085714286	0.673913043	0.050847458	0.083333333	0.45	0.047619048	0.142857143	0.592592593	0.033333333	0.076190476	0.689922481	0.098484848	0.064516129	0.7	0.056179775
