Mixture	CD14	CD19	CD4	CD8	CD56	P-value	Correlation	RMSE
med-1357-cfDNA.bg	0.86701403139204547	0.01475738305445873	0.07455716343276296	0.00000000000000000	0.04367142212073283	9999.00000000000000000	0.63400295510582227	0.84579103850765913
med-1339-cfDNA.bg	0.95144066505421332	0.00000000000000000	0.03105437174361495	0.00000000000000000	0.01750496320217176	9999.00000000000000000	0.62392452545823751	0.91336997242709017
med-1423-cfDNA.bg	0.69087486580970103	0.00498721646097164	0.19705879166291182	0.10707912606641544	0.00000000000000000	9999.00000000000000000	0.44335530980450583	0.94729144508994767
BULK-PBMC-1313.bg	0.43735157087644960	0.12164000070421317	0.21467120925352531	0.11170382361905164	0.11463339554676039	9999.00000000000000000	0.45124380989039270	0.89283622895847869
med-1300-cfDNA.bg	0.88274737426171712	0.00901511502891375	0.07631170786474453	0.01237141351883768	0.01955438932578681	9999.00000000000000000	0.73369492944539694	0.72876665017085063
med-1320-cfDNA.bg	0.82640383974294274	0.04096977540055938	0.05890260368292888	0.00000000000000000	0.07372378117356899	9999.00000000000000000	0.76195405581610021	0.67008371721888538
med-1361-cfDNA.bg	0.95278716276175934	0.00000000000000000	0.02825758983225049	0.00000000000000000	0.01895524740599004	9999.00000000000000000	0.69961099885957057	0.80895560726450133
BULK-PBMC-1382.bg	0.71853656337795913	0.03513205015667827	0.09635174127329403	0.04795789593936727	0.10202174925270127	9999.00000000000000000	0.81054756755676927	0.58993911144875355
med-1519-cfDNA.bg	0.95159858410925691	0.01647231169089701	0.00561071138896649	0.00053438977170238	0.02578400303917710	9999.00000000000000000	0.79024547905361864	0.68686509562804776
med-1291-cfDNA.bg	0.83400066709082732	0.00000000000000000	0.04241134836848500	0.12358798454068758	0.00000000000000000	9999.00000000000000000	0.64309418359001869	0.81616064153892143
BULK-PBMC-1389.bg	0.45740855015365517	0.06109077499897006	0.12984300262774923	0.07040675831684946	0.28125091390277607	9999.00000000000000000	0.59581393511495417	0.81813819457627823
med-1336-cfDNA.bg	0.90434254128778058	0.02889536071585237	0.01578284261884853	0.02046251713088744	0.03051673824663100	9999.00000000000000000	0.73455255325594371	0.74562829442815914
med-1537-cfDNA.bg	0.74802183576487247	0.01335066951273921	0.11030997649812560	0.07700128480537023	0.05131623341889236	9999.00000000000000000	0.79278175963187891	0.60983557773073882
med-1387-cfDNA.bg	0.73849823397137071	0.01952505517789465	0.05850488913721388	0.18347182171352058	0.00000000000000000	9999.00000000000000000	0.42951773502538310	0.98867524180192845
med-1314-cfDNA.bg	1.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	9999.00000000000000000	0.68915166396571559	0.90351476456607605
med-H4-cfDNA.bg	0.92425844299146964	0.00000000000000000	0.04304074780399852	0.00000000000000000	0.03270080920453179	9999.00000000000000000	0.63188321531415648	0.88103951177071960
med-H3-cfDNA.bg	0.91801113543439783	0.01836955560470029	0.03495438506497425	0.00000000000000000	0.02866492389592757	9999.00000000000000000	0.57251053476025726	0.93980286687648318
med-1506-cfDNA.bg	0.73951747463277617	0.03161395344400902	0.10117541612168832	0.12769315580152638	0.00000000000000000	9999.00000000000000000	0.62599578919348076	0.79940648070355502
med-1309-cfDNA.bg	0.72830793558950913	0.00305655872918968	0.00000000000000000	0.19220142797600667	0.07643407770529458	9999.00000000000000000	0.69902431953711952	0.71979561311944695
med-H1-cfDNA.bg	0.94401113289698957	0.00149234005274300	0.00331396923436847	0.02725289156383479	0.02392966625206392	9999.00000000000000000	0.60215642939533365	0.92136099729910992
med-1358-cfDNA.bg	0.73347852442362149	0.00000000000000000	0.14959756552857309	0.07015052895930890	0.04677338108849646	9999.00000000000000000	0.73239613643706925	0.68269199885420384
med-1292-cfDNA.bg	0.67523396088130061	0.04404862834081488	0.12951545634985417	0.05063414793279349	0.10056780649523686	9999.00000000000000000	0.73440093812100726	0.68026186820382184
med-H2-cfDNA.bg	0.63128727135547924	0.10582382670723614	0.13296793548075744	0.00000000000000000	0.12992096645652704	9999.00000000000000000	0.58349618989279894	0.81341417079611822
med-1321-cfDNA.bg	0.87141260084111860	0.00000000000000000	0.10931211553630092	0.00000000000000000	0.01927528362258046	9999.00000000000000000	0.79768562062841475	0.63110255229434709
