Mixture	CD14	CD19	CD4	CD8	CD56	P-value	Correlation	RMSE
med-1357-cfDNA.bg	0.99862910367490976	0.00021289077775186	0.00014363896803880	0.00046240580961380	0.00055196076968583	9999.00000000000000000	0.50817802471119522	1.05312095497957414
med-1339-cfDNA.bg	0.99992367564857332	0.00003535086250147	0.00004097348892521	0.00000000000000000	0.00000000000000000	9999.00000000000000000	0.60737381089038756	0.93717638917762558
med-1423-cfDNA.bg	0.99705772713969887	0.00066319840616941	0.00130413278342811	0.00000000000000000	0.00097494167070358	9999.00000000000000000	0.49311258431410737	1.08920975898919092
BULK-PBMC-1313.bg	0.99724239786855662	0.00077814538968779	0.00056757076451968	0.00056333757191801	0.00084854840531787	9999.00000000000000000	0.48353177258965996	1.08278347103241890
med-1300-cfDNA.bg	1.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	9999.00000000000000000	0.64360643445624321	0.91427023085862269
med-1320-cfDNA.bg	0.72706832964576085	0.01127405807249054	0.01007786408917527	0.00000000000000000	0.25157974819257328	9999.00000000000000000	0.62616401962714496	0.79391934202006087
med-1361-cfDNA.bg	0.99383260612808588	0.00102658845662975	0.00326730704228268	0.00000000000000000	0.00187349837300160	9999.00000000000000000	0.57281663367597135	0.99043596579466475
BULK-PBMC-1382.bg	0.97309604202961608	0.00000811936080269	0.00000000000000000	0.00000000000000000	0.02689583860958117	9999.00000000000000000	0.77210929138078110	0.71732055907065706
med-1519-cfDNA.bg	0.92168362547623017	0.00025624042795763	0.00114963746309826	0.00000000000000000	0.07691049663271395	9999.00000000000000000	0.76074829003628064	0.70598257472866710
med-1291-cfDNA.bg	0.96720694146688391	0.00000000000000000	0.00000000000000000	0.03279305853311618	0.00000000000000000	9999.00000000000000000	0.48960614099252031	1.06298741657486517
BULK-PBMC-1389.bg	0.70425851303391362	0.00370617117718007	0.00547769798212990	0.00000000000000000	0.28655761780677641	9999.00000000000000000	0.67545776025263360	0.74414109009691698
med-1336-cfDNA.bg	0.99946867102645287	0.00000000000000000	0.00036235606720122	0.00016686324605764	0.00000210966028828	9999.00000000000000000	0.67861146099850966	0.87262725891764092
med-1537-cfDNA.bg	0.99730253611941189	0.00059901544880230	0.00082925278055512	0.00062562115792102	0.00064357449330963	9999.00000000000000000	0.71323557107467850	0.81840082864220542
med-1387-cfDNA.bg	0.46922195679348455	0.00535047849298726	0.51846484247235547	0.00000000000000000	0.00696272224117267	9999.00000000000000000	0.34196142309208694	0.96559962203860494
med-1314-cfDNA.bg	0.99952923033680074	0.00021117155745730	0.00025959810574200	0.00000000000000000	0.00000000000000000	9999.00000000000000000	0.67344326662638299	0.87590505294123744
med-H4-cfDNA.bg	0.99808389336026526	0.00049457218392264	0.00096317603363676	0.00000000000000000	0.00045835842217536	9999.00000000000000000	0.49616176428283354	1.06592410273603622
med-H3-cfDNA.bg	1.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	9999.00000000000000000	0.43688879235138917	1.13321482808734197
med-1506-cfDNA.bg	0.59062485831387668	0.09631882954683678	0.11710623853917404	0.13193224419800090	0.06401782940211166	9999.00000000000000000	0.58447097395994352	0.81017236554131056
med-1309-cfDNA.bg	0.93076095258831959	0.00963173818381630	0.01262981711316049	0.00714502684741492	0.03983246526728858	9999.00000000000000000	0.63073074633292847	0.86898439967430197
med-H1-cfDNA.bg	0.97790646888787591	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.02209353111212406	9999.00000000000000000	0.57612812145240100	0.96805959130571606
med-1358-cfDNA.bg	0.99873271703874533	0.00036499846895361	0.00027944913178010	0.00000000000000000	0.00062283536052093	9999.00000000000000000	0.66728587379653337	0.87848638342949703
med-1292-cfDNA.bg	0.99741371893600339	0.00045843070785823	0.00068798500546211	0.00070467636617545	0.00073518898450087	9999.00000000000000000	0.67005701806428508	0.87588892531139984
med-H2-cfDNA.bg	0.99961144000941415	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00038855999058584	9999.00000000000000000	0.46494488147054075	1.08892774410431104
med-1321-cfDNA.bg	0.99928471666921281	0.00024431383189458	0.00025120584139354	0.00000000000000000	0.00021976365749904	9999.00000000000000000	0.73962413602261723	0.78186232592666627
