Mixture	CD4	m4	Tr	CD8	m8	nB	mB	NK	Mn	mNeu	DC	Eo	Mg	Er
healthy_normal-NU-05-Bulk-WB.bg	0.16049382716049382	0.16279069767441862	0.015151515151515154	0.05645161290322581	0.09090909090909093	0.017751479289940832	0.013963480128893663	0.09844559585492227	0.03333333333333333	0.41121495327102797	0.0	0.032786885245901634	0.0	0.0048543689320388345
healthy_normal-NU-47-Bulk-WB.bg	0.1125	0.1020408163265306	0.013605442176870748	0.032679738562091505	0.019230769230769232	0.0	0.008492569002123142	0.03773584905660377	0.03773584905660377	0.70625	0.0	0.007194244604316547	0.00909090909090909	0.0
healthy_normal-NU-48-Bulk-WB.bg	0.07894736842105263	0.04878048780487805	0.008928571428571428	0.040816326530612235	0.07291666666666667	0.0472972972972973	0.037694013303769404	0.0892018779342723	0.0	0.4933333333333334	0.0	0.052208835341365466	0.0	0.0
healthy_normal-NU-44-Bulk-WB.bg	0.08196721311475409	0.12903225806451613	0.021428571428571432	0.1153846153846154	0.08421052631578947	0.06593406593406594	0.013937282229965157	0.07075471698113207	0.0	0.4701492537313433	0.015748031496062992	0.027888446215139442	0.0	0.0
healthy_normal-NU-24-Bulk-WB.bg	0.08620689655172414	0.1956521739130435	0.04310344827586207	0.059829059829059825	0.1346153846153846	0.04294478527607362	0.024330900243309004	0.1438721136767318	0.05263157894736842	0.2644628099173554	0.0	0.022140221402214017	0.0	0.0
healthy_normal-NU-14-Bulk-WB.bg	0.18571428571428567	0.13725490196078433	0.007407407407407408	0.0392156862745098	0.1792452830188679	0.021739130434782608	0.05679513184584178	0.1042296072507553	0.0	0.3790849673202614	0.014285714285714284	0.02422145328719723	0.009009009009009007	0.0
healthy_normal-NU-35-Bulk-WB.bg	0.08235294117647059	0.06	0.023622047244094488	0.0896551724137931	0.08421052631578947	0.024096385542168683	0.029288702928870293	0.1831610044313146	0.0	0.3893129770992366	0.013986013986013986	0.08852459016393442	0.0	0.0
healthy_normal-NU-46-Bulk-WB.bg	0.013888888888888888	0.05263157894736842	0.0	0.02631578947368421	0.02127659574468085	0.037037037037037035	0.018579234972677598	0.03618421052631579	0.01492537313432836	0.7753623188405797	0.0	0.004273504273504274	0.0	0.004651162790697674
healthy_normal-NU-20-Bulk-WB.bg	0.0989010989010989	0.1509433962264151	0.040540540540540536	0.04794520547945205	0.1153846153846154	0.024390243902439025	0.0205078125	0.18328445747800587	0.02083333333333333	0.5	0.01058201058201058	0.01879699248120301	0.0	0.0
healthy_normal-NU-45-Bulk-WB.bg	0.056338028169014086	0.22916666666666666	0.032	0.02325581395348837	0.12244897959183673	0.07428571428571429	0.020179372197309416	0.0681063122923588	0.022727272727272728	0.5	0.006211180124223602	0.02631578947368421	0.0	0.004587155963302753
healthy_normal-NU-41-Bulk-WB.bg	0.1111111111111111	0.13725490196078433	0.02307692307692308	0.08333333333333333	0.07692307692307693	0.13580246913580246	0.023923444976076555	0.08047690014903129	0.0	0.24444444444444444	0.0	0.020618556701030927	0.0	0.0
healthy_normal-NU-31-Bulk-WB.bg	0.08955223880597014	0.11627906976744184	0.045045045045045036	0.0625	0.07058823529411765	0.08148148148148149	0.03465982028241335	0.07606679035250463	0.02564102564102564	0.3253968253968254	0.0	0.0480349344978166	0.0	0.0
