Mixture	CD14	CD19	CD4	CD56	CD8	Eos	Neu	P.value	Correlation	RMSE	CD14_real	CD19_real	CD4_real	CD56_real	CD8_real
CD14_1.txt.bg	0.97206689343879	0	0.00122076891682685	0.0140160751511259	0	0	0.0126962624932571	9999	0.992359981346901	0.130069998203344	1	0	0	0	0
CD14_2.txt.bg	0.987414469797644	0	0	0	0	0.0125855302023558	0	9999	0.993106821177568	0.124427968168413	1	0	0	0	0
CD14_3.txt.bg	0.985264202948404	0	0	0	0.0131438096863019	0.00159198736529443	0	9999	0.990013211259641	0.146934947005444	1	0	0	0	0
CD14_4.txt.bg	0.946790757317714	0.0171937060590501	0.0103009244661977	0.00885998534723735	0	0.0168546268098007	0	9999	0.98831942678635	0.160842284228438	1	0	0	0	0
CD14_5.txt.bg	0.959785796696009	0	0	0	0.00508053846486128	0	0.03513366483913	9999	0.994311954430606	0.113942996737292	1	0	0	0	0
CD14_6.txt.bg	0.903034190885029	0.00245156237829136	0	0	0.00528216761087675	0	0.0892320791258027	9999	0.993654393944117	0.125390685964817	1	0	0	0	0
CD14-PBMC-1313.bg	0.974680192167244	0	0	0	0.0253198078327556	0	0	9999	0.887601681365031	0.471389658316851	1	0	0	0	0
CD14-PBMC-1382.bg	0.931760302947238	0	0	0	0.0384591512513345	0.0297805458014277	0	9999	0.866635608142657	0.505447231016916	1	0	0	0	0
CD14-PBMC-1389.bg	0.991378824359775	0	0	0	0.00862117564022483	0	0	9999	0.875739114882236	0.500297034840847	1	0	0	0	0
CD19_1.txt.bg	0.00185788057795009	0.98794288818502	0	0.00632510541801559	0.00387412581901455	0	0	9999	0.97793794799288	0.232496153753537	0	1	0	0	0
CD19_2.txt.bg	8.417025662404e-05	0.999915829743376	0	0	0	0	0	9999	0.994326824597646	0.149150552630068	0	1	0	0	0
CD19_3.txt.bg	0.0200704608726417	0.946739796167804	0	0	0.0331897429595545	0	0	9999	0.95874463178914	0.304419536408672	0	1	0	0	0
CD19_4.txt.bg	0	0.996748060145702	0	0	0	0	0.00325193985429838	9999	0.987581107236653	0.187925277115838	0	1	0	0	0
CD19_5.txt.bg	0	0.98966902709724	0	0	0.0103309729027603	0	0	9999	0.995004133139713	0.147075468736182	0	1	0	0	0
CD19_6.txt.bg	0	0.959297593147494	0.00176737844657657	0	0	0	0.0389350284059296	9999	0.988664401438952	0.193704953796427	0	1	0	0	0
CD19-PBMC-1313.bg	0	0.939092482864477	0.0357411953448754	0	0	0	0.0251663217906476	9999	0.806660257257502	0.603595077395237	0	1	0	0	0
CD19-PBMC-1382.bg	0.242587916817026	0.719977046727789	0	0.00257769485009323	0.0348573416050918	0	0	9999	0.722617515544185	0.695720796457445	0	1	0	0	0
CD19-PBMC-1389.bg	0	0.962189164626338	0	0	0.00159936718688348	0	0.0362114681867783	9999	0.833658774736431	0.565106764289981	0	1	0	0	0
CD4_1.txt.bg	0.110801382584258	0	0.855225214154768	0.0339734032609742	0	0	0	9999	0.984288582443699	0.215326275612243	0	0	1	0	0
CD4_2.txt.bg	0	0	0.966034110991558	0	0.0305038090737979	0.00062698291557767	0.00283509701906676	9999	0.995070484774116	0.100515377672752	0	0	1	0	0
Cd4_3.txt.bg	0.00372088515336783	0	0.987488272794033	0.00667478660477715	0	0.00211605544782264	0	9999	0.993970083197885	0.111110137226673	0	0	1	0	0
CD4_4.txt.bg	0	0.00201867074278389	0.983598790367482	0.014382538889734	0	0	0	9999	0.994409240295484	0.107132755650735	0	0	1	0	0
CD4_5.txt.bg	0.0107121881432667	0.00122195524904162	0.962145712427531	0	0.0197748616043822	0	0.00614528257577871	9999	0.993455817800901	0.116066647513493	0	0	1	0	0
CD4_6.txt.bg	0	0.00091945863467364	0.981557096303886	0.00469313539273371	0	0	0.0128303096687069	9999	0.994117182363136	0.109929169451052	0	0	1	0	0
CD4-PBMC-1313.bg	0	0	0.99269992658255	0.00730007341744952	0	0	0	9999	0.8320843966301	0.580192287580389	0	0	1	0	0
CD4-PBMC-1382.bg	0	0	0.983638972634973	0	0.016361027365027	0	0	9999	0.89783108169667	0.453072703141503	0	0	1	0	0
CD4-PBMC-1389.bg	0	0	0.987889573790521	0	0	0	0.0121104262094789	9999	0.84021466093048	0.563137950725237	0	0	1	0	0
CD56_1.txt.bg	0	0	0	0.93532593342566	0.0613041523900803	0.00213604248314214	0.00123387170111768	9999	0.981899980307607	0.223322799153512	0	0	0	1	0
CD56_2.txt.bg	0.00988888741817702	0.00157717228610295	0	0.986152979760438	0	0.00238096053528189	0	9999	0.98495271294962	0.21159315518706	0	0	0	1	0
CD56_3.txt.bg	0.0266561655765631	0	0	0.904583981546293	0.0658632125922685	0.00289664028487506	0	9999	0.987899287411512	0.217334394937866	0	0	0	1	0
CD56_4.txt.bg	0	0.00110259672202714	0.0202604007293084	0.978637002548664	0	0	0	9999	0.989229959912027	0.191548038147138	0	0	0	1	0
CD56_5.txt.bg	0.0619671560440033	0.0260681562213524	0.111425632382985	0.80053905535166	0	0	0	9999	0.979828929929221	0.316449176360241	0	0	0	1	0
CD56_6.txt.bg	0	0	0	0.95342762735961	0	0	0.0465723726403898	9999	0.973795055618363	0.271752831357646	0	0	0	1	0
CD56-PBMC-1313.bg	0	0	0	0.991153998778872	0	0.00884600122112778	0	9999	0.810695683879822	0.587663965647279	0	0	0	1	0
CD56-PBMC-1382.bg	0	0.00838544236709649	0.00350814395810546	0.966960464415002	0	0	0.0211459492597962	9999	0.723192851206066	0.70042398077637	0	0	0	1	0
CD56-PBMC-1389.bg	0	0	0	0.984512134465441	0	0.0154878655345589	0	9999	0.769737414560526	0.643975513211903	0	0	0	1	0
CD8_1.txt.bg	0	0.0109702071568386	0.024075372666602	0.318756213813304	0.632555769512514	0	0.0136424368507407	9999	0.960279682449331	0.297383846225828	0	0	0	0	1
