Mixture	NaiveCD4_real	NaiveCD8_real	nB_real	NK_real	Mono_real	M0_real	M1_real	M2_real	iDC_real	mDC_real	PMN_real	cm8_real	em8_real	Eo_real	Tregs_real	em4_real	ed8_real	Mg_real	cm4_real	Er_real	mB	CD8TIL_real
tot-PH4-cfDNA	2.700703841	2.522878668	2.848225415	3.376642392	5.062518791	5.376168896	4.536860835	3.662199862	4.637050357	3.756676202	13.36671863	2.846122771	2.978792769	4.804756524	2.902738379	2.989941673	2.958333192	11.58508721	2.97005143	9.213569902	1.981004093	2.922958169
tot-PH7-cfDNA	2.443008868	2.343596734	2.49042056	2.890000913	5.424733441	4.938337644	4.399965322	3.067892933	4.598338917	3.644191611	11.41858721	3.535827704	3.76562894	6.153016898	3.468568514	3.917331931	3.015303957	12.39547142	3.495801342	8.62734802	1.858621299	2.108005828
tot-YUCLUE_20-3998-cfDNA	2.493638709	2.464160235	2.490711707	3.141180907	4.396387713	4.806203601	4.119199791	3.26463473	4.716480479	3.101467846	14.09789297	3.494158367	3.516796713	5.160092395	3.159450851	3.705564061	3.496887901	11.67802619	3.197163432	8.85477754	2.03469556	2.610428301
tot-YUMARS_15-3443-cfDNA	2.494741348	2.525881459	2.529701248	3.624588131	5.59716804	5.382107786	4.511471149	3.157593091	4.364970231	3.758411675	11.02700796	3.537985785	3.896629975	5.901860392	3.16829874	3.837250929	3.462012607	11.05891585	3.186244456	8.419081016	1.977155657	2.580922471
tot-YUMICRO_20-4006-cfDNA	3.328264537	3.491511629	3.306904165	2.86850895	4.253648764	5.836781966	5.787147384	4.643044368	4.217909242	4.755691292	7.827300729	4.874472823	4.863512087	4.368258664	3.700243529	5.294548203	3.189113004	8.359426337	4.619816717	5.500468716	2.522093441	2.391333454
tot-YUMOTE_17-3755-cfDNA	2.728998928	2.936065496	2.912076372	2.629695745	5.241653912	5.774284095	5.465563121	3.550090881	3.929663498	3.576029311	9.897158239	4.24549785	4.199649597	4.783421752	3.468142258	4.59306237	2.964416759	10.22555337	3.977247614	7.891040389	2.374546244	2.636142196
tot-YUPRAF_19-3925-cfDNA	2.680527115	2.696935635	2.587731362	3.11208498	5.621401147	4.968412412	4.521434979	3.304701306	4.160581299	3.639602679	11.6394713	4.306875266	4.305219004	7.022925796	3.497841952	4.420184156	3.933807521	8.091074575	4.129331369	6.133583049	1.957386118	3.268886983
tot-YUREIL_17-3713-cfDNA	2.462410101	2.129188327	2.302920775	2.933242947	5.215317115	5.171831391	4.268422831	3.095968636	4.327877653	3.443325035	19.22040271	2.804366046	3.034195088	5.029815851	2.704503209	3.284045429	2.779026928	9.557256107	3.290084287	7.495341044	1.814516043	3.635942443
tot-YUSTRAW_20-4002-cfDNA	2.466554007	2.846380181	2.239252544	4.305220033	5.391214338	5.094964831	4.094616962	3.225626687	4.743456299	3.76284675	17.48291542	2.936341663	3.489457623	6.139766336	2.687158159	3.499900869	4.039777758	7.698678482	3.108000804	5.110042427	1.778449138	3.859378685
tot-YUTAUR_19-3926-cfDNA	2.771289095	2.776679893	2.974913571	2.818569751	4.35004569	4.832851787	3.825769248	3.115073124	4.671347574	3.914183433	15.80822363	4.293627781	3.877836314	4.277633223	3.254285433	4.265996714	3.094919451	9.838770145	3.538075296	6.606128053	2.379411806	2.71436899
tot-YUTHEA_20-4000-cfDNA	2.522323043	2.405377486	2.850539001	2.874305716	4.311861308	4.661644784	4.245958233	3.186905206	4.209391018	3.403146134	11.47239972	4.035855906	3.639168902	5.185384297	3.008729483	4.22877674	2.982752296	12.23216014	3.278495212	9.910491553	2.328491586	3.025842239
tot-YUVIRTUE_20-4029-cfDNA	2.521883968	2.517471328	2.438316158	3.247093063	4.815267505	4.805903404	4.430908693	3.22682329	4.314779704	3.360613341	8.560282355	3.626409016	3.602421752	5.575430067	3.3861528	3.700435282	3.115880753	13.72211058	3.669293128	10.24849102	1.864227602	3.249805193
y4-YUEVRY_19_3935-cfDNA	2.0495303	2.508539714	2.781683667	3.517543897	6.173429666	6.689168773	4.925119747	3.751910654	5.512031472	4.433226739	11.33165933	2.816979787	2.624230387	5.146592988	2.875259529	2.595805693	3.053837284	10.72177841	2.989855118	7.795608327	2.179084364	3.527124155
y4-YUMORF_17_3654-cfDNA	2.86155364	2.830766996	2.388615213	2.909099036	4.098852948	5.092427194	5.056739618	3.049719635	3.692446582	4.121726447	9.545526267	5.159384648	4.87114481	5.307313155	4.559066483	6.877918553	3.032317658	8.549579693	5.892696005	6.00592249	2.359692735	1.737490195
y4-YUPARK_18_3832-cfDNA	2.243086352	2.701362016	2.702625683	3.004788751	5.310128061	5.672387045	4.256606343	2.940908383	4.822215295	4.083231507	18.73169229	3.024929771	2.851050052	4.570800891	2.504398146	3.173417108	3.094856023	9.661964909	2.712175434	7.548095016	2.013166452	2.376114478
y4-YUPARK_18_3856-cfDNA	2.460903157	2.343253261	2.514444464	2.685434403	5.795945015	5.484936953	4.355313879	3.030965258	4.712904867	3.887603528	14.46121995	3.432084872	3.513700574	6.108317275	3.446721984	3.878950733	2.844327937	9.673895377	3.318841384	7.235622365	1.780677765	3.033935004
