Mixture	Naive CD4 T	Naive CD8	Naive B	NK	Mono	Mac (M0)	Mac (M1)	Mac (M2)	iDC	mDC	PMN	CD8 TCM	CD8 TEM	Eosinophil	Tregs	CD4 TEM	CD8 TEMRA	Megakaryocyte	CD4 TCM	Erythrocyte	Memory B	EPCAM
BS-Seq_01-spike	50.466187661589565	44.61636009780551	13.318071026894762	15.453805413025911	25.71619125525902	17.455696001284757	21.73535119402403	14.838660402330994	22.280359993184906	27.33196842989749	10.026214367070548	45.53599011245629	47.38273063609734	9.107651598853847	42.38321018672242	53.81959332343981	28.768941969642697	12.783582093617346	58.96966944999612	9.721845750841114	10.432413207569226	11.033413129116145
BS-Seq_03-spike	58.086657740435975	52.46766171661538	14.473367009095321	16.72798396455978	27.54114795540219	15.831590720626581	17.62570535477725	12.071514053210196	20.621240011206012	23.715175808809484	9.395779041566795	48.96060936182586	50.99458059958416	7.89332001589596	45.84493916007462	54.826682594865424	31.071280641236626	10.570130429037748	63.92228786367614	7.516967269447313	10.68362652034918	6.288890800124525
BS-Seq_04-spike	58.99872623176194	52.678503200419215	13.898540642002775	16.585525104293502	27.28110351495704	15.923423925765643	17.19429055771374	11.49872887876751	20.587610445767968	23.5403133488208	9.470878218542554	49.22198056760465	49.827385485840175	7.835944872255044	46.604423462075864	55.74271573797043	31.399127553894814	9.491582733733694	62.51806048260603	6.229938164758456	10.473145662363397	5.564242883097851
BS-Seq_05-spike	60.292604094772905	53.76578970651683	14.714066626922929	17.18006151490411	27.085928579661218	15.645307184163293	16.554945321864345	12.033872771886028	21.28158406535769	22.48975277185462	9.201299304731037	48.85620405487936	51.19664853742613	7.57821738297047	46.33891123863135	57.24048517155489	31.562899740950023	9.522117968610788	63.60695615760511	6.206205727717282	10.655074537595622	5.411913630916182
BS-Seq_06-spike	61.170057865599134	52.09204717363969	14.01740247849517	16.73153933208783	27.672872743419706	15.183034360686815	16.605793374606552	11.354201311609554	19.206657249104477	22.691084140544273	8.852620491383464	48.8903400034804	51.418420263632115	7.671400231473611	46.88136971581436	55.48986786531127	31.571855085505987	9.664714968870452	64.02081821911344	6.813464559273137	10.839136126129658	5.225908304545111
BS-Seq_07-no-spike	58.816491120770756	52.8797529725238	13.769814258863315	16.78445360192805	27.44781662664596	15.07807327073561	16.179068068801993	11.291686344551525	20.131472126771637	21.680612267521983	9.492661619196557	48.389451971374356	52.19252232556251	7.751103284883758	48.25546508836694	55.815421422744635	30.73515151654652	9.893150509757016	63.72733432787637	6.592383522565013	10.539291531064316	5.058740491762639
EM-Seq_01-spike	51.64302740974289	46.80066817536691	13.10090930535114	15.489733644254331	25.6573395516538	17.318215817831582	20.54345293335326	14.101863665480256	23.17704361844985	27.843456393005557	9.141365769489092	45.32954207463073	46.38763247919427	8.567837291610973	40.74400885913313	53.345704539398874	27.12158915066389	12.754826556587643	58.76793935500173	9.472589938959002	10.585289640115132	10.396960324519707
EM-Seq_02-spike	57.84623710293372	50.75938256449121	13.022320976154852	16.356862843807946	26.12335188249775	15.583383487736008	18.048925810945907	12.311832393085766	20.464614467626358	24.6724279904987	9.355516583797073	45.94911103234698	49.27159832243467	8.096507800620769	45.07534654470212	54.39427523837834	30.06526990854234	10.105696756947358	61.00547552686636	7.2910638897159235	10.16316555808904	6.724302498734122
EM-Seq_03-spike	57.64816888022971	51.26453750402836	13.287479420414734	16.517448986486528	27.38332127211423	17.000552764925285	16.720320818586767	11.872897693865976	20.41455012462933	22.434013030667444	9.282675853680171	48.68490119603444	48.42783388312443	7.544252940157423	44.97891269668125	54.75574233686579	30.558123096502943	9.323405931988946	62.676509062715	6.6430247989063735	10.736430963852989	5.34683074058402
EM-Seq_04-spike	57.846014739551286	51.77093981968256	13.280296372913982	16.151118580537585	26.28226951906632	14.258294753234164	15.984732079781152	11.17933142374968	19.52896482335312	22.578583987258984	8.946573834850554	48.419706465711386	49.70295314924494	7.1710865953968295	45.40095603478871	55.64447895457347	30.708417132284932	8.441045663358375	63.03518298738658	6.6038803561382355	10.398121646069043	4.7849795647416595
EM-Seq_05-spike	59.685558202083676	50.5965115587817	13.469571656442838	17.080933212361558	26.62439901828884	14.781748793259721	16.38489999432558	10.980334076609614	21.274330468390094	22.69732257603283	9.33527182803803	47.52455003177281	49.69950186820056	7.259598032240517	46.656954694753495	55.74026706798277	31.055942324206292	8.66284789407791	64.61980095574835	6.230216710806675	10.834662286755446	4.2768638295907175
EM-Seq_06-spike	60.36414812757832	52.82693207204405	13.899834746013932	16.592713772471303	27.266092652138497	15.005867798102438	16.44983924001151	10.7089444632699	20.50363170536404	22.04201039184462	9.381308996797245	48.651919555451975	50.7516948707549	7.285613016011635	45.58780096270718	56.167926601258706	31.266010963842554	9.258874864629904	64.98992758036232	6.0597387938790455	10.238702995304887	4.677016517642249
EM-Seq_07-no-spike	59.27527268693863	51.28611655979878	13.218502491145456	17.24307260062941	26.359903256032478	14.494638223635476	15.369710654742265	11.002763175176831	19.640153286236863	22.433927358079327	9.037202178190519	48.53935812848025	49.00813684602797	7.247571315718612	46.978755697567166	55.47894600564509	30.535139798690015	8.762488811049174	63.522891624021575	6.335065549828924	9.992184417797166	4.28014556416847
