Mixture	NaiveCD4	NaiveCD8	nB	NK	Mono	cm8	em8	Tregs	em4	ed8	cm4	mB	CD8TIL
tot-YUCLUE_20-3998-cfDNA	490.4082814	340.9233465	944.4839426	1261.679162	1683.043759	788.4153414	993.496411	454.2830633	1186.399693	1878.223614	556.9732638	1391.316265	44.43590833
tot-YUMARS_15-3443-cfDNA	406.253619	289.3664765	794.3059299	1205.485798	1774.251664	661.0221592	911.4978694	377.2146224	1017.289011	1539.719763	459.6169721	1119.475877	36.37849306
tot-YUMICRO_20-4006-cfDNA	569.0839293	419.9866735	1090.252133	1001.72015	1415.778353	956.2563991	1194.54704	462.5721364	1473.804323	1489.257219	699.7267496	1499.414882	35.39131111
tot-YUMOTE_17-3755-cfDNA	414.9168219	314.041433	853.7039493	816.5727782	1551.319237	740.5843326	917.2030852	385.5185308	1136.874318	1230.943896	535.6554827	1255.279597	34.69161667
tot-YUPRAF_19-3925-cfDNA	407.3511182	288.3253469	758.2540689	965.8993464	1662.908847	750.9295924	939.8071177	388.6329037	1093.557207	1632.687756	555.8705814	1034.254388	42.99784028
tot-YUREIL_17-3713-cfDNA	357.4534667	217.4386481	644.5921007	869.6387457	1473.720103	467.0700787	632.6993718	287.0366201	776.1054281	1101.775741	423.0691912	915.84526	45.68505556
tot-YUSTRAW_20-4002-cfDNA	411.157924	333.7908871	719.7272796	1465.700056	1749.362416	561.5815612	835.5467171	327.4929395	949.7869858	1839.148641	458.9278406	1030.769703	55.68438889
tot-YUTAUR_19-3926-cfDNA	334.7152427	235.9299123	692.8111402	695.2710731	1022.733858	594.9853423	672.7874845	287.3690398	838.815814	1020.902646	378.5349426	999.2299208	28.37661389
tot-YUTHEA_20-4000-cfDNA	489.9873839	328.7236614	1067.721604	1140.378093	1630.512496	899.5142747	1015.502919	427.3247129	1337.369403	1582.49629	564.1622089	1572.754817	50.87782063
tot-YUVIRTUE_20-4029-cfDNA	456.3520614	320.4815129	850.76925	1200.055601	1696.174353	752.9045447	936.4061239	447.9939455	1090.134701	1539.916122	588.1695949	1172.940576	50.90146389
y4-YUEVRY_19_3935-cfDNA	63.11147599	54.34236164	165.1614118	221.2204322	370.0459507	99.52356901	116.0782166	64.732402	130.1303536	256.8273132	81.55477325	233.3083052	9.400972222
y4-YUMORF_17_3654-cfDNA	384.1470509	267.3395847	618.2849261	797.6012672	1071.107617	794.6607018	939.3369927	447.4682391	1503.159536	1111.761495	700.7367525	1101.420684	20.18905556
y4-YUPARK_18_3832-cfDNA	50.68957986	42.94563422	117.7620752	138.6814456	233.5892494	78.42891589	92.5491242	41.37773838	116.7487643	191.0092811	54.29198537	158.1810826	4.6477
y4-YUPARK_18_3856-cfDNA	623.6209787	417.7427838	1228.612963	1389.864486	2859.075392	997.8664685	1279.04468	638.5914868	1600.268631	1968.553315	745.0028545	1568.966566	66.54730833
