celltype	total_DMR	avg_cpg_per_DMR	total_reporter
[CD4]	21	7.904761904761905	29.147058823529413
[CD8]	26	10.076923076923077	46.67647058823529
[DC]	50	6.76	65.8
[Eo]	50	9.08	88.46470588235293
[Er]	50	8.44	85.76470588235294
[Mg]	18	10.944444444444445	34.21176470588235
[Mn]	23	6.6521739130434785	22.988235294117644
[NK]	50	9.1	79.8941176470588
[Tr]	17	16.764705882352942	67.64117647058823
[m4]	5	15.2	16.041176470588233
[m8]	9	16.555555555555557	31.423529411764708
[mB]	50	8.74	85.4529411764706
[mNeu]	50	5.7	53.470588235294116
[nB]	50	6.88	77.04117647058824
