celltype	total_DMR	avg_cpg_per_DMR	total_reporter
[CD4]	21	7.904761904761905	29.147058823529413
[CD8]	26	10.076923076923077	46.67647058823529
[DC]	40	6.85	60.582352941176474
[Eo]	40	9.1	70.88235294117648
[Er]	40	8.3	69.11176470588235
[Mg]	18	10.944444444444445	34.21176470588235
[Mn]	23	6.6521739130434785	22.988235294117644
[NK]	40	9.4	60.95882352941176
[Tr]	17	16.764705882352942	67.64117647058823
[m4]	5	15.2	16.041176470588233
[m8]	9	16.555555555555557	31.423529411764708
[mB]	40	9.975	74.81176470588235
[mNeu]	40	5.875	45.48235294117647
[nB]	40	7.275	49.035294117647055
