celltype	total_DMR	avg_cpg_per_DMR	total_reporter
[CD4]	20	7.9	25.617647058823525
[CD8]	20	11.2	37.61176470588235
[DC]	20	8.55	31.282352941176466
[Eo]	20	10.2	33.252941176470586
[Er]	20	7.45	29.847058823529412
[Mg]	18	10.944444444444445	34.21176470588235
[Mn]	20	6.75	20.523529411764702
[NK]	20	6.7	24.258823529411764
[Tr]	17	16.764705882352942	67.64117647058823
[m4]	5	15.2	16.041176470588233
[m8]	9	16.555555555555557	31.423529411764708
[mB]	20	10.3	36.911764705882355
[mNeu]	20	6.7	21.488235294117644
[nB]	20	6.3	28.42941176470588
