celltype	total_DMR	avg_cpg_per_DMR	total_reporter
[CD4]	10	7.6	11.16470588235294
[CD8]	10	8.3	19.200000000000003
[DC]	10	8.4	14.023529411764708
[Eo]	10	9.3	16.823529411764707
[Er]	10	9.3	22.170588235294122
[Mg]	10	9.4	19.95294117647059
[Mn]	10	7.8	11.670588235294117
[NK]	10	6.9	13.558823529411764
[Tr]	10	16.7	43.535294117647055
[m4]	5	15.2	16.041176470588233
[m8]	9	16.555555555555557	31.423529411764708
[mB]	10	14.5	26.96470588235294
[mNeu]	10	5.8	10.505882352941178
[nB]	10	9.4	16.19411764705882
