Mixture	Mono	Bcell	CD4	CD8	NK	Mono_real	Bcell_real	CD4_real	CD8_real	NK_real
tot-66-cfDNA	59.7599419243611	6.81440423553724	12.1925075636868	11.0568685797957	10.1762776966191	63.9950065100268	7.23498776291674	10.8272030298262	7.7362365734291	10.2065661238011
tot-67-cfDNA	51.4016502251024	7.27012170921188	15.9594678976839	12.7432306320548	12.6255295359471	55.8742192520391	7.83519977983063	14.3860027599531	9.0505635521967	12.8540146559805
tot-72-cfDNA	51.929906593426	7.24198342620705	16.3065884669646	11.6367921568458	12.8847293565565	56.2600460947625	7.77882598350594	14.6498432997887	8.23715983563408	13.0741247863087
tot-PH1-cfDNA	49.9146396308215	8.66163536484368	15.2579214880804	11.1872495508726	14.9785539653818	53.9656494092921	9.28460328906863	13.6795612919246	7.90268128102479	15.1675047286898
tot-PH16-cfDNA	40.1812586636126	8.6682992621521	16.9817732801897	14.4157077845576	19.7529610094881	44.2636036203238	9.46740847145755	15.51292153999	10.3757828770167	20.380283491212
tot-PH17-cfDNA	53.019366493088	8.78189934007993	10.5790204453314	13.3603526667587	14.259361054742	57.2664932352945	9.40434380069017	9.47542804343684	9.42856611812479	14.4251688024537
tot-PH4-cfDNA	49.0508499937582	7.00265973801732	14.7107417728105	13.7067446191317	15.5290038762823	53.4948051070894	7.57185142708352	13.3041450227199	9.7669972779666	15.8622011651406
tot-PH7-cfDNA	54.2412769501702	7.40882221289259	13.5591213316943	12.2162624056068	12.5745170996361	58.5823134825564	7.93340771148673	12.1438246168384	8.62058303848822	12.7198711506302
tot-YUCLUE_20-3998-cfDNA	51.6647283860396	7.6296819943749	13.0504736441922	14.5723303803825	13.0827855950109	56.2637768878941	8.23787420783137	11.7855086722308	10.3687263803534	13.3441138516902
tot-YUMARS_15-3443-cfDNA	51.5488730192708	8.14695747972411	11.3972873347427	13.3838046303713	15.5230775358911	55.8123592702382	8.74541943322778	10.2329306211786	9.46787396492358	15.7414167104319
tot-YUMICRO_20-4006-cfDNA	33.5674549808719	7.30502421883278	20.7531368065981	23.199004975367	15.1753790183302	38.4108358660908	8.28764214834768	19.6927522900015	17.3446833012858	16.2640863942741
tot-YUMOTE_17-3755-cfDNA	47.1417158392775	9.96900249173162	15.8172042270823	15.4712190976257	11.6008583442829	51.7381906175582	10.8475470573485	14.3953722291127	11.0940996066165	11.9247904893642
tot-YUPRAF_19-3925-cfDNA	51.5955295107382	7.56253355094347	16.66952649777	13.2162189354041	10.9561915051443	56.1960556097773	8.16648298492183	15.0558177726525	9.40508354265733	11.1765600899911
tot-YUREIL_17-3713-cfDNA	61.8567801268624	7.29689842386297	11.6110300767222	9.56883417751707	9.66645719503539	65.7872580336515	7.69425834408989	10.2402969897678	6.64928852334924	9.62889810914161
tot-YUSTRAW_20-4002-cfDNA	57.3676860204941	6.81058038674183	9.53890293993896	12.3965981824298	13.8862324703953	61.5957871714048	7.25006312531032	8.49316249151695	8.69656755758961	13.9644196541784
tot-YUTAUR_19-3926-cfDNA	62.6028562917305	7.32164853100397	9.52887385024809	11.7034229232324	8.843198403785	66.8169543325467	7.74774630480605	8.43376373978214	8.16144578045442	8.84008984241069
tot-YUTHEA_20-4000-cfDNA	47.0420991909107	10.6182746168378	13.5006882998795	16.009281892649	12.829655999723	51.557801999215	11.5381356785873	12.2701801113669	11.4641332751313	13.1697489356994
tot-YUVIRTUE_20-4029-cfDNA	48.7444329176896	7.69795625694907	13.7904743067485	14.893107887878	14.8740286307348	53.2876134804691	8.34354619061498	12.5016627174055	10.637712711816	15.2294648996944
Y-3674-cfDNA	60.9483886987303	5.79419323431715	8.52681629990522	10.990984512824	13.7396172542233	64.9674431383367	6.1235110866181	7.53716077464846	7.65476417683096	13.7171208235658
Y-3685-cfDNA	51.9898474391373	6.86055988820408	11.853383123977	13.5116266222418	15.7845829264398	56.3677852390105	7.37472746283034	10.6571744808664	9.57153820418043	16.0287746131124
Y-3688-cfDNA	40.3994669253641	10.9614966189247	15.0347002493724	15.7601524721162	17.8441837342226	44.5197439986905	11.9762503371279	13.7391265500325	11.3474717964063	18.4174073177427
Y-3694-cfDNA	53.7893280928893	7.37905555652066	14.4810595581024	10.73537238464	13.6151844078477	57.9126968291178	7.87684750145828	12.9290119182424	7.55190393918306	13.7295398119985
Y-3703-cfDNA	47.0787359284569	7.40444495703551	13.2319107658991	16.662528470854	15.6223798777545	51.7853307416579	8.07511019084337	12.0695714614926	11.9752486257584	16.0947389802477
Y-3706-cfDNA	53.2213510979665	7.75326931388754	13.7079745317792	14.6502618312213	10.6671432251455	57.950879152307	8.3701451712982	12.377551682127	10.4227229393615	10.8787010549063
Y-3707-cfDNA	48.1715550177616	7.03941923584928	10.9936734754555	15.4355607741111	18.3597914968225	52.618688566672	7.62360123741464	9.95816949126139	11.0162412806836	18.7832994239683
Y-3711-cfDNA	42.413028340397	8.54298440637844	18.0192503752958	16.9920721260838	14.0326647518451	47.0885725679656	9.40372334637638	16.5897670878873	12.3260594812834	14.5918775164873
Y-3715-cfDNA	58.605020404579	6.8564079334124	11.8272057714962	14.8163017064772	7.89506418403527	63.5038895293439	7.36607507285569	10.6275946996701	10.4897947616981	8.01264593643225
Y-3720-cfDNA	45.5808991801322	10.4637678028397	14.3644293952904	16.1857883909126	13.4051152308251	50.0901940806504	11.4007102281644	13.090177371455	11.6215848617546	13.7973334579756
Y-3735-cfDNA	52.4637264223207	8.56713768597682	10.6598518079927	12.3236278538953	15.9856562298146	56.5210815943082	9.15084213873411	9.52335168801976	8.67464234505124	16.1300822338867
