Mixture	'CD14'	'CD19'	'CD4'	'CD8'	'CD56'	'Neu'
insilmix_NR_400000_cd4naive_s_30_cd8naive_s_29_mNeu_s_9_mono_s_10_nB_s_5_NK_s_17_bg	0.1282051282051282	0.026737967914438502	0.2	0.22377622377622375	0.11842105263157895	0.030612244897959183
insilmix_NR_400000_cd4naive_s_8_cd8naive_s_35_mNeu_s_9_mono_s_20_nB_s_1_NK_s_27_bg	0.13333333333333333	0.0	0.04385964912280702	0.2492012779552716	0.2017167381974249	0.030927835051546393
insilmix_NR_400000_cd4naive_s_7_cd8naive_s_3_mNeu_s_39_mono_s_17_nB_s_19_NK_s_15_bg	0.13513513513513514	0.16042780748663102	0.03333333333333333	0.041916167664670656	0.11574074074074076	0.2207792207792208
insilmix_NR_400000_cd4naive_s_12_cd8naive_s_24_mNeu_s_9_mono_s_20_nB_s_9_NK_s_26_bg	0.15384615384615385	0.04945054945054945	0.052173913043478265	0.17105263157894735	0.18907563025210086	0.03157894736842105
insilmix_NR_400000_cd4naive_s_30_cd8naive_s_14_mNeu_s_18_mono_s_27_nB_s_11_NK_s_0_bg	0.2692307692307692	0.07647058823529412	0.19298245614035087	0.10774410774410774	0.00796812749003984	0.0761904761904762
insilmix_NR_400000_cd4naive_s_4_cd8naive_s_22_mNeu_s_2_mono_s_5_nB_s_33_NK_s_34_bg	0.05128205128205128	0.27979274611398963	0.01492537313432836	0.14375	0.2706422018348624	0.0
insilmix_NR_400000_cd4naive_s_11_cd8naive_s_1_mNeu_s_30_mono_s_31_nB_s_24_NK_s_3_bg	0.25806451612903225	0.2303370786516854	0.04464285714285714	0.012658227848101266	0.020408163265306117	0.15584415584415584
insilmix_NR_400000_cd4naive_s_29_cd8naive_s_18_mNeu_s_12_mono_s_23_nB_s_7_NK_s_11_bg	0.21212121212121213	0.049180327868852465	0.1794871794871795	0.13745704467353953	0.0823045267489712	0.05825242718446603
insilmix_NR_400000_cd4naive_s_0_cd8naive_s_21_mNeu_s_54_mono_s_10_nB_s_10_NK_s_5_bg	0.1176470588235294	0.07103825136612021	0.0	0.14516129032258066	0.043478260869565216	0.32926829268292684
insilmix_NR_400000_cd4naive_s_7_cd8naive_s_20_mNeu_s_18_mono_s_16_nB_s_29_NK_s_10_bg	0.14705882352941174	0.24615384615384614	0.032	0.14006514657980454	0.08	0.08602150537634409
insilmix_NR_400000_cd4naive_s_20_cd8naive_s_26_mNeu_s_16_mono_s_7_nB_s_11_NK_s_20_bg	0.07894736842105263	0.06878306878306878	0.125	0.18152866242038213	0.13302752293577982	0.07865168539325842
insilmix_NR_400000_cd4naive_s_1_cd8naive_s_1_mNeu_s_41_mono_s_26_nB_s_31_NK_s_0_bg	0.17142857142857146	0.2914285714285714	0.007874015748031496	0.009345794392523364	0.0	0.2368421052631579
insilmix_NR_400000_cd4naive_s_25_cd8naive_s_25_mNeu_s_10_mono_s_12_nB_s_22_NK_s_6_bg	0.16129032258064516	0.19576719576719576	0.1532258064516129	0.19434628975265014	0.04602510460251046	0.041237113402061855
insilmix_NR_400000_cd4naive_s_23_cd8naive_s_4_mNeu_s_2_mono_s_26_nB_s_24_NK_s_21_bg	0.20689655172413796	0.22099447513812154	0.125	0.04672897196261682	0.13524590163934427	0.0
insilmix_NR_400000_cd4naive_s_14_cd8naive_s_15_mNeu_s_27_mono_s_5_nB_s_26_NK_s_13_bg	0.05128205128205128	0.2393617021276596	0.06504065040650407	0.10971786833855803	0.10176991150442477	0.12048192771084335
insilmix_NR_400000_cd4naive_s_16_cd8naive_s_17_mNeu_s_5_mono_s_23_nB_s_27_NK_s_12_bg	0.18181818181818185	0.22916666666666666	0.07377049180327869	0.1292517006802721	0.08979591836734692	0.010309278350515464
insilmix_NR_400000_cd4naive_s_9_cd8naive_s_36_mNeu_s_1_mono_s_27_nB_s_7_NK_s_20_bg	0.13953488372093026	0.041884816753926704	0.05357142857142857	0.2564102564102564	0.12605042016806722	0.0
insilmix_NR_400000_cd4naive_s_28_cd8naive_s_2_mNeu_s_11_mono_s_25_nB_s_27_NK_s_7_bg	0.2258064516129032	0.25	0.17073170731707318	0.03934426229508197	0.043478260869565216	0.0505050505050505
insilmix_NR_400000_cd4naive_s_15_cd8naive_s_26_mNeu_s_21_mono_s_11_nB_s_17_NK_s_10_bg	0.1111111111111111	0.13089005235602094	0.0847457627118644	0.1862745098039216	0.0782608695652174	0.0967741935483871
insilmix_NR_400000_cd4naive_s_14_cd8naive_s_14_mNeu_s_26_mono_s_22_nB_s_19_NK_s_5_bg	0.1875	0.16393442622950818	0.06896551724137931	0.11326860841423947	0.0411522633744856	0.11235955056179776
insilmix_NR_400000_cd4naive_s_7_cd8naive_s_22_mNeu_s_20_mono_s_4_nB_s_23_NK_s_24_bg	0.027027027027027032	0.19689119170984454	0.032	0.1419939577039275	0.19626168224299065	0.1125
insilmix_NR_400000_cd4naive_s_37_cd8naive_s_9_mNeu_s_18_mono_s_9_nB_s_11_NK_s_16_bg	0.13793103448275862	0.0755813953488372	0.2015503875968992	0.07692307692307693	0.1111111111111111	0.08163265306122447
insilmix_NR_400000_cd4naive_s_26_cd8naive_s_17_mNeu_s_11_mono_s_16_nB_s_9_NK_s_21_bg	0.14285714285714285	0.05	0.1557377049180328	0.12333333333333335	0.15454545454545454	0.04901960784313725
insilmix_NR_400000_cd4naive_s_18_cd8naive_s_8_mNeu_s_25_mono_s_11_nB_s_24_NK_s_14_bg	0.12121212121212123	0.21578947368421053	0.0859375	0.06369426751592358	0.0990990990990991	0.10714285714285714
insilmix_NR_400000_cd4naive_s_10_cd8naive_s_18_mNeu_s_2_mono_s_31_nB_s_0_NK_s_39_bg	0.24242424242424246	0.0	0.0423728813559322	0.12218649517684887	0.2792792792792793	0.0
