Mixture	CD4	m4	Tr	CD8	m8	nB	mB	NK	Mn	mNeu	DC	Eo	Mg	Er
healthy_normal-NU-48-Bulk-WB.bg	0.25	0.0	0.0	0.01818181818181818	0.03225806451612903	0.125	0.02127659574468085	0.08426966292134831	0.0	0.4666666666666667	0.0	0.0	0.0	0.0
healthy_normal-NU-35-Bulk-WB.bg	0.0	0.2	0.0	0.07142857142857142	0.12903225806451613	0.0	0.0335195530726257	0.19487179487179487	0.0	0.38461538461538464	0.0	0.08695652173913042	0.0	0.0
healthy_normal-NU-20-Bulk-WB.bg	0.16666666666666666	0.08333333333333333	0.027027027027027032	0.03333333333333333	0.11363636363636365	0.0	0.02304147465437788	0.17714285714285713	0.08333333333333333	0.8	0.0	0.0	0.0	0.0
healthy_normal-NU-14-Bulk-WB.bg	0.25	0.125	0.0	0.05263157894736842	0.14705882352941174	0.0	0.06696428571428571	0.13291139240506328	0.0	0.07142857142857142	0.0	0.029411764705882356	0.0	0.0
healthy_normal-NU-46-Bulk-WB.bg	0.0	0.0	0.0	0.022727272727272728	0.03125	0.0	0.015625	0.04166666666666666	0.0	0.5882352941176471	0.0	0.0	0.0	0.0
healthy_normal-NU-05-Bulk-WB.bg	0.2	0.25	0.0	0.05128205128205128	0.10256410256410256	0.0	0.01507537688442211	0.0975609756097561	0.07142857142857142	0.3076923076923077	0.0	0.0	0.0	0.03333333333333333
healthy_normal-NU-24-Bulk-WB.bg	0.0	0.16666666666666666	0.05882352941176471	0.045454545454545456	0.175	0.0	0.04301075268817205	0.20567375886524825	0.06666666666666668	0.06666666666666668	0.0	0.0	0.0	0.0
healthy_normal-NU-47-Bulk-WB.bg	0.0	0.25	0.0	0.013513513513513514	0.0	0.0	0.01762114537444934	0.06532663316582915	0.0	0.8	0.0	0.0	0.0	0.0
healthy_normal-NU-45-Bulk-WB.bg	0.0	0.42857142857142855	0.06451612903225806	0.021739130434782608	0.11428571428571427	0.0	0.017964071856287425	0.10227272727272728	0.07142857142857142	0.6153846153846154	0.0	0.08695652173913042	0.0	0.0
healthy_normal-NU-31-Bulk-WB.bg	0.2	0.0	0.043478260869565216	0.040816326530612235	0.08333333333333333	0.16666666666666666	0.08045977011494253	0.06	0.0	0.3333333333333333	0.0	0.054054054054054064	0.0	0.0
healthy_normal-NU-41-Bulk-WB.bg	0.0	0.16666666666666666	0.0	0.0625	0.030303030303030307	0.2307692307692308	0.014705882352941175	0.08415841584158416	0.0	0.1111111111111111	0.0	0.0	0.0	0.0
healthy_normal-NU-44-Bulk-WB.bg	0.0	0.2	0.0	0.14634146341463414	0.16666666666666666	0.07692307692307693	0.005681818181818182	0.08839779005524863	0.0	0.5833333333333334	0.0	0.09375	0.0	0.0
