Mixture	CD14	CD19	CD4	CD56	CD8	Eos	Neu	P.value	Correlation	RMSE	CD4_real	CD8_real	CD14_real	CD19_real	CD56_real	Neu_real	Eos_real
reinGran_1.txt.bg	0.00200542548238184	0.00441808294566003	0.013895212789146	0.0229121054398894	0.011337729862726	0	0.945431443480197	9999	0.966529819030152	0.261923757562794	0.033797217	0.028827038	0.003976143	0.000994036	0.004970179	0.874751491	0.052683897
reinGran_2.txt.bg	0.00510934550048888	0	0.0137363405812977	0.0041763934636928	0.00745007165477541	0	0.969527848799745	9999	0.970702171066152	0.243063728036834	0.046231156	0.022110553	0.007035176	0.003015075	0.005025126	0.858291457	0.058291457
reinGran_3.txt.bg	0.0146739071606529	0	0.00297843887186927	0	0.019383695590965	0	0.962963958376513	9999	0.961422255107091	0.277267368412552	0.026422764	0.012195122	0.00101626	0.00101626	0	0.907520325	0.051829268
reinGran_4.txt.bg	0.0150198511437213	0.0126280418175724	0.0120689640288562	0.0114615100678447	0	0	0.948821632942005	9999	0.977633120944948	0.216222585401435	0.015120968	0.006048387	0.003024194	0.003024194	0.001008065	0.914314516	0.057459677
reinGran_5.txt.bg	0	0	0.0173326709727732	0	0	0	0.982667329027227	9999	0.954428005021067	0.300025973089368	0.016048144	0.006018054	0.004012036	0.002006018	0.001003009	0.95887663	0.012036108
reinGran_6.txt.bg	0	0	0.020828820562346	0.0151271419424367	0	0	0.964044037495217	9999	0.970847800961714	0.243579351275455	0.030120482	0.014056225	0.003012048	0.002008032	0.002008032	0.914658635	0.034136546
renPBMC_1.txt.bg	0.184730392596469	0.0632079919813579	0.224552743320931	0.249486422644784	0.170314123955012	0	0.107708325501446	9999	0.925327868993963	0.575321817580405	0.290526316	0.204210526	0.075789474	0.043157895	0.102105263	0.275789474	0.008421053
renPBMC_2.txt.bg	0.346663416323513	0.103845891925558	0.281187854607779	0.127612259339857	0.115483589901078	0.00110599238135653	0.0241009955208573	9999	0.929531673255139	0.571991341795241	0.339676499	0.072312084	0.213130352	0.099904853	0.094196004	0.17697431	0.003805899
renPBMC_3.txt.bg	0.242617802754083	0.0738396012300039	0.331316428847655	0.0831496428779665	0.212584931181219	0.017407070626128	0.0390845224829444	9999	0.930494960835135	0.534804389520149	0.55212766	0.137234043	0.108510638	0.053191489	0.057446809	0.077659574	0.013829787
renPBMC_4.txt.bg	0.145973302274001	0.157686775879877	0.350012884287631	0.0728840356017094	0.174029603544936	0	0.0994133984118455	9999	0.938561089573967	0.55959461751508	0.397602398	0.182817183	0.068931069	0.082917083	0.067932068	0.197802198	0.001998002
renPBMC_5.txt.bg	0.269301404753989	0.108413043683219	0.315652205661122	0	0.14477935341122	0	0.16185399249045	9999	0.92137052739019	0.592715496878669	0.498439126	0.089490114	0.055150884	0.088449532	0.036420395	0.225806452	0.006243496
renPBMC_6.txt.bg	0.127363630400987	0.1114475831306	0.366502889254251	0.151339141084802	0.118813291078645	0	0.124533465050715	9999	0.946242361919545	0.552985266238708	0.360594796	0.125464684	0.089219331	0.101301115	0.087360595	0.230483271	0.005576208
renWB_1.txt.bg	0.050490511026445	0.0309506778496391	0.144966357284933	0.164339786305808	0.0815459248067891	0	0.527706742726386	9999	0.907852134320102	0.572557062647656	0.140756303	0.121848739	0.06092437	0.022058824	0.042016807	0.577731092	0.034663866
renWB_2.txt.bg	0.0915046393672215	0.0465848316826791	0.138321782174624	0.0734317305548142	0.0320838767857036	0	0.618073139434957	9999	0.919683518870965	0.503089007643425	0.138203356	0.038499506	0.09970385	0.029615005	0.033563672	0.612043435	0.048371175
renWB_3.txt.bg	0.052851911835307	0.026254383580728	0.120696959343546	0.0225501479230903	0.100817237202561	0	0.676829360114767	9999	0.92432704440752	0.469970121747085	0.115583075	0.042311662	0.013415893	0.019607843	0.010319917	0.760577915	0.038183695
renWB_4.txt.bg	0.0426580483013266	0.066084028722625	0.140286469688339	0.0276895608147899	0.0868694439776994	0	0.636412448495221	9999	0.924626561391277	0.504240404066544	0.114026236	0.056508577	0.026236125	0.043390515	0.016145308	0.692230071	0.051463169
renWB_5.txt.bg	0.0475611678658824	0.0172694189465958	0.0836443232833862	0	0.0398031447360937	0	0.811721945168042	9999	0.933864195196227	0.384560851482795	0.113567839	0.036180905	0.053266332	0.016080402	0.007035176	0.76281407	0.011055276
renWB_6.txt.bg	0.0201173188209933	0.0585929355594774	0.135461020745142	0.0403645803039067	0.0698732343484307	0	0.675590910222049	9999	0.926243616375569	0.481600410359054	0.187196896	0.077594568	0.070805044	0.050436469	0.037827352	0.530552861	0.045586809
