Mixture	mincpg	totalreadCT	totalreadnonCT	acceptedtrueCTcount	acceptedfalseCTcount	true_pos/all_pos	rejectedtrueCTcount	rejectedfalseCTcount	true_neg/all_neg	false_neg/all_pos	false_pos/all_neg	F1-score	totalTestedreadCT	totalTestedreadnonCT	totalTestedread	totalread	mNeu_real_rdtotal	mNeu_real_rdtested	mNeu_real
mNeuallrange_NR_81205_insilmix18	3	4	39468	0	14	0.0	1444	0	1.0	-1.0	0.009602194787379972	0.0	0	1458	1458	39472	0.00010133765707336846	0.0	0.009855494
mNeuallrange_NR_81205_insilmix41	3	239	39295	8	9	0.4705882352941176	1472	0	1.0	0.0	0.006076975016880486	0.64	8	1481	1489	39534	0.006045429250771488	0.005372733378106112	0.604895837
mNeuallrange_NR_81205_insilmix32	3	56	39369	1	18	0.05263157894736842	1469	0	1.0	0.0	0.0121049092131809	0.1	1	1487	1488	39425	0.0014204185161699428	0.0006720430107526883	0.139210565
mNeuallrange_NR_81205_insilmix52	3	19724	19749	570	5	0.991304347826087	749	41	0.9481012658227848	0.06710310965630115	0.006631299734748011	0.9612141652613828	611	754	1365	39473	0.4996833278443493	0.4476190476190477	49.96302504
mNeuallrange_NR_81205_insilmix21	3	7	39453	0	14	0.0	1456	0	1.0	-1.0	0.009523809523809523	0.0	0	1470	1470	39460	0.00017739483020780538	0.0	0.017245415
mNeuallrange_NR_81205_insilmix10	3	1	39533	0	11	0.0	1431	0	1.0	-1.0	0.0076282940360610264	0.0	0	1442	1442	39534	2.529468305762129e-05	0.0	0.002463358
mNeuallrange_NR_81205_insilmix49	3	27639	11821	824	2	0.9975786924939468	459	60	0.884393063583815	0.06787330316742081	0.0043383947939262466	0.9637426900584796	884	461	1345	39460	0.7004308160162189	0.6572490706319702	69.97313418
mNeuallrange_NR_81205_insilmix29	3	33	39477	1	9	0.1	1502	0	1.0	0.0	0.005956320317670417	0.18181818181818185	1	1511	1512	39510	0.0008352315869400152	0.0006613756613756612	0.082566207
mNeuallrange_NR_81205_insilmix55	3	11819	27666	330	7	0.9792284866468842	1008	23	0.9776915615906888	0.06515580736543909	0.006896551724137931	0.9565217391304348	353	1015	1368	39485	0.2993288590604027	0.2580409356725146	29.9567505
mNeuallrange_NR_81205_insilmix11	3	1	39571	0	13	0.0	1444	0	1.0	-1.0	0.00892244337680165	0.0	0	1457	1457	39572	2.5270393207318306e-05	0.0	0.002463085
mNeuallrange_NR_81205_insilmix26	3	20	39454	0	11	0.0	1434	0	1.0	-1.0	0.0076124567474048456	0.0	0	1445	1445	39474	0.0005066626133657597	0.0	0.050487015
mNeuallrange_NR_81205_insilmix46	3	35557	3938	1076	0	1.0	149	71	0.6772727272727272	0.06190061028770706	0.0	0.9680611785874944	1147	149	1296	39495	0.9002911760982403	0.8850308641975309	90.00098597
mNeuallrange_NR_81205_insilmix35	3	90	39391	2	20	0.09090909090909093	1454	0	1.0	0.0	0.0135685210312076	0.16666666666666666	2	1474	1476	39481	0.0022795775182999412	0.0013550135501355016	0.225397216
mNeuallrange_NR_81205_insilmix14	3	2	39530	0	13	0.0	1464	0	1.0	-1.0	0.008801624915368992	0.0	0	1477	1477	39532	5.059192552868562e-05	0.0	0.004926048
mNeuallrange_NR_81205_insilmix9	3	1	39556	0	11	0.0	1441	0	1.0	-1.0	0.007575757575757577	0.0	0	1452	1452	39557	2.52799757312233e-05	0.0	0.002463145
