Mixture	mincpg	totalreadCT	totalreadnonCT	acceptedtrueCTcount	acceptedfalseCTcount	true_pos/all_pos	rejectedtrueCTcount	rejectedfalseCTcount	true_neg/all_neg	false_neg/all_pos	false_pos/all_neg	F1-score	totalTestedreadCT	totalTestedreadnonCT	totalTestedread	totalread	mNeu_real_rdtotal	mNeu_real_rdtested	mNeu_real
mNeuallrange_NR_81205_insilmix13	3	2	39589	0	0	-1.0	141	0	1.0	-1.0	0.0	-1.0	0	141	141	39591	5.051653153494481e-05	0.0	0.004927201
mNeuallrange_NR_81205_insilmix57	3	11819	27677	35	0	1.0	108	2	0.9818181818181818	0.054054054054054064	0.0	0.9722222222222222	37	108	145	39496	0.2992454932145027	0.25517241379310346	29.95822705
mNeuallrange_NR_81205_insilmix60	3	3924	35656	12	0	1.0	134	1	0.9925925925925926	0.07692307692307693	0.0	0.96	13	134	147	39580	0.09914098029307733	0.08843537414965986	9.967477271
mNeuallrange_NR_81205_insilmix24	3	12	39530	0	3	0.0	143	0	1.0	-1.0	0.02054794520547945	0.0	0	146	146	39542	0.0003034747863031713	0.0	0.030788557
mNeuallrange_NR_81205_insilmix44	3	391	39203	2	0	1.0	143	0	1.0	0.0	0.0	1.0	2	143	145	39594	0.009875233621255744	0.013793103448275862	0.994160692
mNeuallrange_NR_81205_insilmix37	3	147	39334	1	0	1.0	157	0	1.0	0.0	0.0	1.0	1	157	158	39481	0.003723309946556572	0.006329113924050633	0.369590125
mNeuallrange_NR_81205_insilmix38	3	147	39358	1	1	0.5	155	0	1.0	0.0	0.00641025641025641	0.6666666666666666	1	156	157	39505	0.003721047968611568	0.006369426751592357	0.369585571
mNeuallrange_NR_81205_insilmix12	3	1	39487	0	1	0.0	152	0	1.0	-1.0	0.006535947712418301	0.0	0	153	153	39488	2.532414910858995e-05	0.0	0.002463509
mNeuallrange_NR_81205_insilmix58	3	3924	35601	12	0	1.0	141	1	0.9929577464788732	0.07692307692307693	0.0	0.96	13	141	154	39525	0.09927893738140416	0.08441558441558443	9.972391352999999
mNeuallrange_NR_81205_insilmix8	3	1	39579	0	0	-1.0	144	0	1.0	-1.0	0.0	-1.0	0	144	144	39580	2.5265285497726127e-05	0.0	0.002463479
mNeuallrange_NR_81205_insilmix43	3	391	39109	2	2	0.5	156	0	1.0	0.0	0.012658227848101266	0.6666666666666666	2	158	160	39500	0.009898734177215191	0.0125	0.994001503
mNeuallrange_NR_81205_insilmix30	3	33	39503	0	0	-1.0	155	0	1.0	-1.0	0.0	-1.0	0	155	155	39536	0.0008346823148522865	0.0	0.082540778
mNeuallrange_NR_81205_insilmix50	3	27639	11870	93	0	1.0	46	6	0.8846153846153846	0.060606060606060615	0.0	0.96875	99	46	145	39509	0.6995621250854236	0.6827586206896552	69.97658368
mNeuallrange_NR_81205_insilmix23	3	12	39552	0	1	0.0	164	0	1.0	-1.0	0.006060606060606061	0.0	0	165	165	39564	0.00030330603579011223	0.0	0.030785523
mNeuallrange_NR_81205_insilmix42	3	239	39283	2	2	0.5	155	0	1.0	0.0	0.012738853503184714	0.6666666666666666	2	157	159	39522	0.0060472648145336785	0.012578616352201259	0.604880933
mNeuallrange_NR_81205_insilmix31	3	56	39482	0	1	0.0	155	0	1.0	-1.0	0.00641025641025641	0.0	0	156	156	39538	0.0014163589458242704	0.0	0.139227717
mNeuallrange_NR_81205_insilmix15	3	2	39517	0	1	0.0	143	0	1.0	-1.0	0.006944444444444444	0.0	0	144	144	39519	5.060856803056758e-05	0.0	0.004929144
mNeuallrange_NR_81205_insilmix51	3	27639	11843	93	0	1.0	54	6	0.9	0.060606060606060615	0.0	0.96875	99	54	153	39482	0.7000405247961096	0.6470588235294118	69.98262113
mNeuallrange_NR_81205_insilmix22	3	12	39532	0	1	0.0	163	0	1.0	-1.0	0.006097560975609756	0.0	0	164	164	39544	0.000303459437588509	0.0	0.030792728
mNeuallrange_NR_81205_insilmix7	3	1	39567	0	1	0.0	153	0	1.0	-1.0	0.006493506493506494	0.0	0	154	154	39568	2.5272947836635667e-05	0.0	0.002463418
mNeuallrange_NR_81205_insilmix40	3	239	39334	2	1	0.6666666666666666	155	0	1.0	0.0	0.00641025641025641	0.8	2	156	158	39573	0.006039471356733126	0.012658227848101266	0.6047095920000001
mNeuallrange_NR_81205_insilmix33	3	56	39468	0	1	0.0	156	0	1.0	-1.0	0.006369426751592357	0.0	0	157	157	39524	0.0014168606416354618	0.0	0.139198561
mNeuallrange_NR_81205_insilmix53	3	19724	19722	61	0	1.0	80	5	0.9411764705882352	0.07575757575757576	0.0	0.9606299212598424	66	80	146	39446	0.5000253511129139	0.4520547945205479	49.9661042
mNeuallrange_NR_81205_insilmix17	3	4	39498	0	2	0.0	159	0	1.0	-1.0	0.012422360248447204	0.0	0	161	161	39502	0.0001012606956609792	0.0	0.009851367
mNeuallrange_NR_81205_insilmix20	3	7	39620	0	0	-1.0	138	0	1.0	-1.0	0.0	-1.0	0	138	138	39627	0.00017664723547076492	0.0	0.017249663999999998
mNeuallrange_NR_81205_insilmix18	3	4	39468	0	3	0.0	161	0	1.0	-1.0	0.018292682926829267	0.0	0	164	164	39472	0.00010133765707336846	0.0	0.009855494
mNeuallrange_NR_81205_insilmix41	3	239	39295	2	0	1.0	152	0	1.0	0.0	0.0	1.0	2	152	154	39534	0.006045429250771488	0.012987012987012988	0.604895837
mNeuallrange_NR_81205_insilmix32	3	56	39369	0	3	0.0	162	0	1.0	-1.0	0.01818181818181818	0.0	0	165	165	39425	0.0014204185161699428	0.0	0.139210565
mNeuallrange_NR_81205_insilmix52	3	19724	19749	61	0	1.0	74	5	0.9367088607594936	0.07575757575757576	0.0	0.9606299212598424	66	74	140	39473	0.4996833278443493	0.4714285714285714	49.96302504
mNeuallrange_NR_81205_insilmix21	3	7	39453	0	3	0.0	158	0	1.0	-1.0	0.018633540372670808	0.0	0	161	161	39460	0.00017739483020780538	0.0	0.017245415
mNeuallrange_NR_81205_insilmix10	3	1	39533	0	1	0.0	155	0	1.0	-1.0	0.00641025641025641	0.0	0	156	156	39534	2.529468305762129e-05	0.0	0.002463358
mNeuallrange_NR_81205_insilmix49	3	27639	11821	93	0	1.0	55	6	0.9016393442622952	0.060606060606060615	0.0	0.96875	99	55	154	39460	0.7004308160162189	0.6428571428571429	69.97313418
mNeuallrange_NR_81205_insilmix29	3	33	39477	0	0	-1.0	149	0	1.0	-1.0	0.0	-1.0	0	149	149	39510	0.0008352315869400152	0.0	0.082566207
mNeuallrange_NR_81205_insilmix55	3	11819	27666	35	0	1.0	100	2	0.9803921568627452	0.054054054054054064	0.0	0.9722222222222222	37	100	137	39485	0.2993288590604027	0.27007299270072993	29.9567505
mNeuallrange_NR_81205_insilmix11	3	1	39571	0	1	0.0	146	0	1.0	-1.0	0.006802721088435374	0.0	0	147	147	39572	2.5270393207318306e-05	0.0	0.002463085
mNeuallrange_NR_81205_insilmix26	3	20	39454	0	0	-1.0	150	0	1.0	-1.0	0.0	-1.0	0	150	150	39474	0.0005066626133657597	0.0	0.050487015
mNeuallrange_NR_81205_insilmix46	3	35557	3938	121	0	1.0	20	6	0.7692307692307693	0.047244094488188976	0.0	0.9758064516129032	127	20	147	39495	0.9002911760982403	0.8639455782312925	90.00098597
mNeuallrange_NR_81205_insilmix35	3	90	39391	1	3	0.25	154	0	1.0	0.0	0.01910828025477707	0.4	1	157	158	39481	0.0022795775182999412	0.006329113924050633	0.225397216
mNeuallrange_NR_81205_insilmix14	3	2	39530	0	1	0.0	156	0	1.0	-1.0	0.006369426751592357	0.0	0	157	157	39532	5.059192552868562e-05	0.0	0.004926048
mNeuallrange_NR_81205_insilmix9	3	1	39556	0	0	-1.0	149	0	1.0	-1.0	0.0	-1.0	0	149	149	39557	2.52799757312233e-05	0.0	0.002463145
mNeuallrange_NR_81205_insilmix39	3	147	39403	1	0	1.0	150	0	1.0	0.0	0.0	1.0	1	150	151	39550	0.003716814159292035	0.006622516556291391	0.369594678
mNeuallrange_NR_81205_insilmix59	3	3924	35589	12	0	1.0	130	1	0.9923664122137404	0.07692307692307693	0.0	0.96	13	130	143	39513	0.09930908814820437	0.09090909090909093	9.971408149
mNeuallrange_NR_81205_insilmix25	3	20	39529	0	2	0.0	159	0	1.0	-1.0	0.012422360248447204	0.0	0	161	161	39549	0.0005057017876558194	0.0	0.050505673
mNeuallrange_NR_81205_insilmix56	3	11819	27614	35	1	0.9722222222222222	101	2	0.9805825242718448	0.054054054054054064	0.00980392156862745	0.9589041095890408	37	102	139	39433	0.2997235817716126	0.26618705035971224	29.9567505
mNeuallrange_NR_81205_insilmix36	3	90	39438	1	0	1.0	146	0	1.0	0.0	0.0	1.0	1	146	147	39528	0.0022768670309653923	0.006802721088435374	0.225499982
mNeuallrange_NR_81205_insilmix45	3	391	39216	2	1	0.6666666666666666	146	0	1.0	0.0	0.006802721088435374	0.8	2	147	149	39607	0.009871992324589088	0.013422818791946308	0.994087214
mNeuallrange_NR_81205_insilmix27	3	20	39465	0	1	0.0	153	0	1.0	-1.0	0.006493506493506494	0.0	0	154	154	39485	0.0005065214638470307	0.0	0.050511273
mNeuallrange_NR_81205_insilmix54	3	19724	19751	61	0	1.0	72	5	0.935064935064935	0.07575757575757576	0.0	0.9606299212598424	66	72	138	39475	0.49965801139962	0.4782608695652174	49.99075113
mNeuallrange_NR_81205_insilmix34	3	90	39519	1	0	1.0	147	0	1.0	0.0	0.0	1.0	1	147	148	39609	0.0022722108611679163	0.006756756756756757	0.225405545
mNeuallrange_NR_81205_insilmix47	3	35557	3933	121	0	1.0	18	6	0.75	0.047244094488188976	0.0	0.9758064516129032	127	18	145	39490	0.9004051658647759	0.8758620689655172	90.00209522
mNeuallrange_NR_81205_insilmix48	3	35557	3941	121	0	1.0	19	6	0.76	0.047244094488188976	0.0	0.9758064516129032	127	19	146	39498	0.9002227960909414	0.8698630136986302	90.00542313
mNeuallrange_NR_81205_insilmix28	3	33	39467	0	0	-1.0	149	0	1.0	-1.0	0.0	-1.0	0	149	149	39500	0.0008354430379746836	0.0	0.082547896
mNeuallrange_NR_81205_insilmix19	3	7	39507	0	4	0.0	157	0	1.0	-1.0	0.024844720496894408	0.0	0	161	161	39514	0.00017715240168041706	0.0	0.017234375
mNeuallrange_NR_81205_insilmix16	3	4	39594	0	1	0.0	147	0	1.0	-1.0	0.006756756756756757	0.0	0	148	148	39598	0.0001010152027880196	0.0	0.00985428
