Mixture	mincpg	totalreadCT	totalreadnonCT	acceptedtrueCTcount	acceptedfalseCTcount	true_pos/all_pos	rejectedtrueCTcount	rejectedfalseCTcount	true_neg/all_neg	false_neg/all_pos	false_pos/all_neg	F1-score	totalTestedreadCT	totalTestedreadnonCT	totalTestedread	totalread	mNeu_real_rdtotal	mNeu_real_rdtested	mNeu_real
mNeuallrange_NR_81205_insilmix13	3	2	39589	0	1	0.0	81	0	1.0	-1.0	0.012195121951219513	0.0	0	82	82	39591	5.051653153494481e-05	0.0	0.004927201
mNeuallrange_NR_81205_insilmix57	3	11819	27677	11	0	1.0	59	0	1.0	0.0	0.0	1.0	11	59	70	39496	0.2992454932145027	0.15714285714285714	29.95822705
mNeuallrange_NR_81205_insilmix60	3	3924	35656	4	1	0.8	64	0	1.0	0.0	0.015384615384615384	0.8888888888888888	4	65	69	39580	0.09914098029307733	0.05797101449275361	9.967477271
mNeuallrange_NR_81205_insilmix24	3	12	39530	0	0	-1.0	78	0	1.0	-1.0	0.0	-1.0	0	78	78	39542	0.0003034747863031713	0.0	0.030788557
mNeuallrange_NR_81205_insilmix44	3	391	39203	0	0	-1.0	69	0	1.0	-1.0	0.0	-1.0	0	69	69	39594	0.009875233621255744	0.0	0.994160692
mNeuallrange_NR_81205_insilmix37	3	147	39334	0	0	-1.0	76	0	1.0	-1.0	0.0	-1.0	0	76	76	39481	0.003723309946556572	0.0	0.369590125
mNeuallrange_NR_81205_insilmix38	3	147	39358	0	1	0.0	78	0	1.0	-1.0	0.012658227848101266	0.0	0	79	79	39505	0.003721047968611568	0.0	0.369585571
mNeuallrange_NR_81205_insilmix12	3	1	39487	0	1	0.0	74	0	1.0	-1.0	0.013333333333333334	0.0	0	75	75	39488	2.532414910858995e-05	0.0	0.002463509
mNeuallrange_NR_81205_insilmix58	3	3924	35601	4	0	1.0	72	0	1.0	0.0	0.0	1.0	4	72	76	39525	0.09927893738140416	0.05263157894736842	9.972391352999999
mNeuallrange_NR_81205_insilmix8	3	1	39579	0	1	0.0	84	0	1.0	-1.0	0.011764705882352941	0.0	0	85	85	39580	2.5265285497726127e-05	0.0	0.002463479
mNeuallrange_NR_81205_insilmix43	3	391	39109	0	0	-1.0	71	0	1.0	-1.0	0.0	-1.0	0	71	71	39500	0.009898734177215191	0.0	0.994001503
mNeuallrange_NR_81205_insilmix30	3	33	39503	0	1	0.0	78	0	1.0	-1.0	0.012658227848101266	0.0	0	79	79	39536	0.0008346823148522865	0.0	0.082540778
mNeuallrange_NR_81205_insilmix50	3	27639	11870	30	0	1.0	18	1	0.9473684210526316	0.03225806451612903	0.0	0.9836065573770492	31	18	49	39509	0.6995621250854236	0.6326530612244898	69.97658368
