Mixture	CD14	CD19	CD4	CD56	CD8	Eos	Neu	P-value	Correlation	RMSE
CD4_6.txt.bg	0.00000000000000000	0.00000000000000000	0.97405491168569647	0.00691080645657318	0.00000000000000000	0.00862765278233252	0.01040662907539784	9999.00000000000000000	0.99380652461118457	0.11159426004965611
CD19_6.txt.bg	0.00000000000000000	0.95275953924568113	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.04724046075431888	9999.00000000000000000	0.99065210259648073	0.16244609520886030
Eos_3.txt.bg	0.00874653148339549	0.01010830551359465	0.00000000000000000	0.00000000000000000	0.01096456616639928	0.87500350116129644	0.09517709567531406	9999.00000000000000000	0.99523433459507005	0.10683804602517456
CD56-PBMC-1382.bg	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.96101502367456659	0.00000000000000000	0.02719879068692879	0.01178618563850467	9999.00000000000000000	0.70843438404975057	0.71767523911525966
CD19_3.txt.bg	0.02357979208080190	0.93620547744317384	0.00377244787693323	0.00000000000000000	0.03644228259909112	0.00000000000000000	0.00000000000000000	9999.00000000000000000	0.96171308591711391	0.28494445921398137
CD19-PBMC-1389.bg	0.00000000000000000	0.90814839298794747	0.00000000000000000	0.00000000000000000	0.04311665310323401	0.00000000000000000	0.04873495390881859	9999.00000000000000000	0.82899032253988469	0.56560008969495079
reinGran_1.txt.bg	0.00368538470505099	0.00664221298821671	0.02227086549023446	0.03378590315700253	0.01025882213734087	0.00000000000000000	0.92335681152215432	9999.00000000000000000	0.96163118358681388	0.28882626206274914
renWB_4.txt.bg	0.03147607830711219	0.08248749489180261	0.16344814103397118	0.03113974499969937	0.08002622666937043	0.00000000000000000	0.61142231409804415	9999.00000000000000000	0.91220529803429540	0.55661343737288316
CD56_4.txt.bg	0.00000000000000000	0.00941218049602980	0.02219200790990298	0.96839581159406718	0.00000000000000000	0.00000000000000000	0.00000000000000000	9999.00000000000000000	0.99013903717895879	0.18602150930255146
BULK-PBMC-1313.bg	0.32635061215222422	0.01184705393054911	0.43652812041728772	0.10398921729601263	0.12128499620392638	0.00000000000000000	0.00000000000000000	9999.00000000000000000	0.58731926195649542	0.80864744124917098
renPBMC_3.txt.bg	0.22972172774031385	0.07182119558487424	0.34632889589701088	0.08504786744444580	0.21987146215149703	0.02432010791549791	0.02288874326636038	9999.00000000000000000	0.94672625204087479	0.50608523786050064
renWB_1.txt.bg	0.05684954336343891	0.04489040233405250	0.13168011417993589	0.17571486695064384	0.11321062922804727	0.00000000000000000	0.47765444394388157	9999.00000000000000000	0.90641615814437482	0.61549821759958989
accWB_3159.txt.bg	0.03159905879162693	0.04937250045697789	0.11431122303640046	0.05236353307570964	0.03621188684374549	0.00000000000000000	0.71614179779553966	9999.00000000000000000	0.91783332213985258	0.48032155232289098
reinGran_4.txt.bg	0.00779252198918827	0.00637557464008066	0.00720748679533183	0.00001010354202636	0.00000000000000000	0.00000000000000000	0.97861431303337276	9999.00000000000000000	0.97175877286392509	0.23799707824227534
accWB_3082.txt.bg	0.06078737062191258	0.01795693222715790	0.22189798385070306	0.05073840583691682	0.03216487202680384	0.00000000000000000	0.61645443543650580	9999.00000000000000000	0.94299564301044070	0.49138793565209821
accWB_3177.txt.bg	0.01865372227368181	0.08646559482350061	0.29070703214027882	0.06774741344431887	0.11349873645578798	0.00000000000000000	0.42292750086243186	9999.00000000000000000	0.91780436703519330	0.60866233475359099
Neu_6.txt.bg	0.00733751718861904	0.01421446072906592	0.07973070287183615	0.03008263652770057	0.02560894417281107	0.00000000000000000	0.84302573850996732	9999.00000000000000000	0.95028872881815807	0.35522844253382746
CD4_4.txt.bg	0.00000000000000000	0.00890930806346596	0.98191580604018791	0.00917488589634622	0.00000000000000000	0.00000000000000000	0.00000000000000000	9999.00000000000000000	0.99482597956836316	0.10267060433519548
CD19_5.txt.bg	0.00000000000000000	0.98467824988140262	0.00389510380701544	0.00000000000000000	0.00733796506839200	0.00408868124318986	0.00000000000000000	9999.00000000000000000	0.99450484242762593	0.12979455698540021
accWB_3021.txt.bg	0.06467916127484202	0.10840577359999369	0.15248731194286722	0.14503174740133706	0.09687747152688601	0.00000000000000000	0.43251853425407405	9999.00000000000000000	0.85275233268827200	0.68766080182662914
CD56_2.txt.bg	0.01172970840300953	0.00600707683018719	0.00000000000000000	0.97738936807685783	0.00000000000000000	0.00487384668994543	0.00000000000000000	9999.00000000000000000	0.98157020312970600	0.22379314626714897
CD4-PBMC-1389.bg	0.00000000000000000	0.00000000000000000	0.95112612744323566	0.00000000000000000	0.03824340100849120	0.00000000000000000	0.01063047154827317	9999.00000000000000000	0.82019484150815203	0.59868546955197288
BULK-PBMC-1382.bg	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.07747762258670939	0.00000000000000000	0.92252237741329057	9999.00000000000000000	0.80861516220816410	0.59050206281261641
CD56_1.txt.bg	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.94965598562658582	0.04817465908817304	0.00216935528524123	0.00000000000000000	9999.00000000000000000	0.98461994383501339	0.20466498368321104
reinGran_5.txt.bg	0.00000000000000000	0.00000000000000000	0.01768856473950491	0.00613083651924058	0.00000000000000000	0.00000000000000000	0.97618059874125451	9999.00000000000000000	0.94528151710328623	0.32632974578886792
reinGran_6.txt.bg	0.00000000000000000	0.00000000000000000	0.02180242310236829	0.01597118038677410	0.00000000000000000	0.00000000000000000	0.96222639651085762	9999.00000000000000000	0.96301206592367017	0.27299328769400832
CD8-PBMC-1313.bg	0.01080459552875926	0.04693184212066673	0.11317086608930552	0.05350641054250255	0.69407951058661954	0.03243259748675763	0.04907417764538867	9999.00000000000000000	0.81147988600071563	0.58487942994826214
renPBMC_6.txt.bg	0.11847482686836736	0.13532801343102716	0.35336161367176860	0.14615410433402551	0.12842404466882645	0.00000000000000000	0.11825739702598491	9999.00000000000000000	0.94475806253392136	0.56475792921714474
CD19-PBMC-1313.bg	0.00000000000000000	0.94987395793335117	0.00000000000000000	0.00000000000000000	0.03041769737958120	0.00000000000000000	0.01970834468706765	9999.00000000000000000	0.81277392539765314	0.59972461626022333
reinGran_3.txt.bg	0.01656178915084375	0.00853122947012624	0.01303629164657613	0.00000000000000000	0.02606442295442330	0.00000000000000000	0.93580626677803047	9999.00000000000000000	0.95620206110706285	0.29950952130940911
CD8_3.txt.bg	0.01134704353568476	0.00250193968965722	0.00000000000000000	0.00000000000000000	0.98532573911438492	0.00000000000000000	0.00082527766027311	9999.00000000000000000	0.99400789686248492	0.12133858810926894
BULK-PBMC-1389.bg	0.26788371980340608	0.07984625881613254	0.25583415566221662	0.21954736005345185	0.08652715534615485	0.00000000000000000	0.09036135031863797	9999.00000000000000000	0.66252322686667020	0.77736231517143140
CD14-PBMC-1389.bg	0.98853833972230343	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.01146166027769661	0.00000000000000000	0.00000000000000000	9999.00000000000000000	0.85151716632205354	0.54626634919447425
CD19_2.txt.bg	0.00114183001093406	0.99241294302465022	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00644522696441573	0.00000000000000000	9999.00000000000000000	0.99414397372931163	0.13251431509772782
Eos_1.txt.bg	0.00000000000000000	0.00745373597586004	0.01060692402774449	0.00000000000000000	0.02316297988931517	0.95877636010708034	0.00000000000000000	9999.00000000000000000	0.99380591660103346	0.12454123624755097
Eos_4.txt.bg	0.00000000000000000	0.00000000000000000	0.00326247316674837	0.00000000000000000	0.00669568107018848	0.99004184576306320	0.00000000000000000	9999.00000000000000000	0.98198411499723393	0.21422907427389468
CD56-PBMC-1313.bg	0.00000000000000000	0.00000000000000000	0.00000000000000000	1.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	9999.00000000000000000	0.81382416212676112	0.58533216836308732
Eos_5.txt.bg	0.00000000000000000	0.00000000000000000	0.00012375844673147	0.00744452455143557	0.00000000000000000	0.83761151466124539	0.15482020234058760	9999.00000000000000000	0.99243308593315693	0.13199053353500725
