Mixture	CD14	CD19	CD4	CD56	CD8	P-value	Correlation	RMSE
CD4_6.txt.bg	0.08590890959349595	0.04712973640315490	0.55611644785748127	0.08892269555797779	0.22192221058789011	9999.00000000000000000	0.80215947408304744	0.70875954345861270
CD19_6.txt.bg	0.02225629567846599	0.86623845991269843	0.00000000000000000	0.01217068794961757	0.09933455645921797	9999.00000000000000000	0.94626315629604307	0.32724431596652193
Eos_3.txt.bg	0.70220333030496518	0.03784633721778211	0.00000000000000000	0.12855301450780016	0.13139731796945248	9999.00000000000000000	0.71356433903073546	0.71939312183884829
CD56-PBMC-1382.bg	0.00018935866197651	0.00022978968774140	0.00007504835129940	0.99938616932242719	0.00011963397655552	9999.00000000000000000	0.95338370308437514	0.30382156985127873
CD19_3.txt.bg	0.00000000000000000	0.82003069151274544	0.00000000000000000	0.00000000000000000	0.17996930848725456	9999.00000000000000000	0.92071235771782289	0.39250316807438146
CD19-PBMC-1389.bg	0.00014489495828058	0.99967286601210081	0.00012051588812034	0.00004723040009694	0.00001449274140133	9999.00000000000000000	0.96969051648434323	0.28871732717180776
reinGran_1.txt.bg	0.80794028062434331	0.00997065341931068	0.00000000000000000	0.05281068145133377	0.12927838450501225	9999.00000000000000000	0.86527191863707698	0.53206139141619024
renWB_4.txt.bg	0.49578104844532872	0.12117520754000378	0.09740046477189035	0.11627812552335663	0.16936515371942054	9999.00000000000000000	0.80783840926813288	0.64729758366285195
CD56_4.txt.bg	0.01865232135895709	0.01603911892060412	0.00000000000000000	0.76877516059613671	0.19653339912430201	9999.00000000000000000	0.87025654659647222	0.50731155168865505
BULK-PBMC-1313.bg	0.40553303235926530	0.07241717654580616	0.26257175306306818	0.06477162695122808	0.19470641108063227	9999.00000000000000000	0.56120405192327272	0.83487531695302863
renPBMC_3.txt.bg	0.24076963585643363	0.17070112677080240	0.16013623334608984	0.23266977528809454	0.19572322873857961	9999.00000000000000000	0.01317455670285713	1.01955608569608192
renWB_1.txt.bg	0.45631595575751166	0.05189170226014981	0.11289822864891853	0.17417797791395895	0.20471613541946113	9999.00000000000000000	0.74708861217619471	0.70909986465253949
